"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2025","25,517.33","25,662.19","25,663.17","25,389.73","325.66M","-0.06%"
"11/11/2025","25,533.49","25,500.93","25,588.26","25,380.86","309.30M","-0.31%"
"11/10/2025","25,611.74","25,418.17","25,655.51","25,354.44","378.62M","2.20%"
"11/07/2025","25,059.81","24,977.73","25,065.14","24,603.78","414.09M","-0.28%"
"11/06/2025","25,130.04","25,568.24","25,568.24","25,083.24","429.76M","-1.91%"
"11/05/2025","25,620.03","25,433.22","25,750.88","25,364.90","390.21M","0.72%"
"11/04/2025","25,435.70","25,580.34","25,762.23","25,415.62","413.76M","-2.07%"
"11/03/2025","25,972.94","26,114.11","26,132.87","25,887.88","352.56M","0.44%"
"10/31/2025","25,858.13","26,055.97","26,063.49","25,761.28","421.20M","0.48%"
"10/30/2025","25,734.81","25,953.78","26,031.68","25,732.39","429.79M","-1.47%"
"10/29/2025","26,119.85","26,147.72","26,182.10","25,907.45","410.52M","0.41%"
"10/28/2025","26,012.15","25,932.64","26,087.48","25,864.49","363.68M","0.74%"
"10/27/2025","25,821.55","25,701.95","25,839.03","25,656.38","376.36M","1.83%"
"10/24/2025","25,358.16","25,307.75","25,418.64","25,288.71","321.42M","1.04%"
"10/23/2025","25,097.41","24,869.60","25,126.78","24,856.34","284.65M","0.88%"
"10/22/2025","24,879.01","25,093.64","25,127.06","24,652.11","323.86M","-0.99%"
"10/21/2025","25,127.13","25,139.80","25,178.23","25,043.06","278.49M","-0.06%"
"10/20/2025","25,141.02","24,991.10","25,183.81","24,988.67","284.86M","1.30%"
"10/17/2025","24,817.95","24,600.55","24,881.47","24,511.59","332.96M","0.65%"
"10/16/2025","24,657.24","24,882.22","24,998.30","24,481.17","319.82M","-0.36%"
"10/15/2025","24,745.36","24,807.34","24,933.23","24,496.07","326.37M","0.68%"
"10/14/2025","24,579.32","24,442.93","24,766.37","24,256.28","322.61M","-0.69%"
"10/13/2025","24,750.25","24,625.74","24,779.65","24,540.42","340.83M","2.18%"
"10/10/2025","24,221.74","25,116.83","25,195.28","24,207.15","527.70M","-3.49%"
"10/09/2025","25,098.18","25,124.79","25,139.35","24,966.81","310.61M","-0.15%"
"10/08/2025","25,136.62","24,887.32","25,142.19","24,882.35","346.71M","1.19%"
"10/07/2025","24,840.23","25,031.78","25,062.96","24,783.95","329.45M","-0.55%"
"10/06/2025","24,978.56","24,986.26","25,044.26","24,907.60","391.09M","0.78%"
"10/03/2025","24,785.52","24,931.42","24,958.26","24,713.58","339.40M","-0.43%"
"10/02/2025","24,892.76","24,933.49","24,944.75","24,780.11","346.87M","0.37%"
"10/01/2025","24,800.86","24,539.25","24,816.67","24,517.76","401.60M","0.49%"
"09/30/2025","24,679.99","24,597.40","24,691.23","24,505.14","421.25M","0.28%"
"09/29/2025","24,611.35","24,629.02","24,741.77","24,560.22","378.20M","0.44%"
"09/26/2025","24,503.85","24,410.95","24,510.37","24,297.70","334.12M","0.44%"
"09/25/2025","24,397.31","24,321.73","24,460.66","24,186.37","389.79M","-0.43%"
"09/24/2025","24,503.57","24,648.97","24,650.42","24,388.59","357.47M","-0.31%"
"09/23/2025","24,580.17","24,752.74","24,764.30","24,536.50","381.52M","-0.73%"
"09/22/2025","24,761.07","24,588.18","24,781.73","24,578.09","432.26M","0.55%"
"09/19/2025","24,626.25","24,528.44","24,641.93","24,469.28","1.10B","0.70%"
"09/18/2025","24,454.89","24,421.21","24,554.52","24,347.54","488.02M","0.95%"
"09/17/2025","24,223.69","24,286.43","24,292.06","23,999.75","352.09M","-0.21%"
"09/16/2025","24,274.25","24,342.75","24,343.35","24,244.21","346.27M","-0.08%"
"09/15/2025","24,293.78","24,178.60","24,297.34","24,173.14","340.91M","0.84%"
"09/12/2025","24,092.19","24,030.77","24,137.06","23,983.63","361.37M","0.42%"
"09/11/2025","23,992.56","23,956.57","24,016.53","23,883.01","401.05M","0.60%"
"09/10/2025","23,849.27","23,931.32","23,958.54","23,760.10","368.95M","0.04%"
"09/09/2025","23,839.80","23,824.33","23,852.42","23,698.00","266.17M","0.33%"
"09/08/2025","23,762.30","23,759.62","23,851.81","23,725.04","311.27M","0.46%"
"09/05/2025","23,652.44","23,841.98","23,860.25","23,475.33","380.41M","0.08%"
"09/04/2025","23,633.01","23,442.19","23,639.04","23,371.33","315.03M","0.93%"
"09/03/2025","23,414.84","23,388.28","23,478.01","23,279.12","340.99M","0.79%"
"09/02/2025","23,231.11","23,020.47","23,242.28","22,977.88","341.60M","-0.79%"
"08/29/2025","23,415.42","23,607.54","23,607.54","23,353.96","361.28M","-1.22%"
"08/28/2025","23,703.45","23,601.35","23,741.23","23,514.70","308.43M","0.58%"
"08/27/2025","23,565.85","23,499.67","23,591.05","23,434.31","274.24M","0.17%"
"08/26/2025","23,525.29","23,420.85","23,532.51","23,369.04","434.40M","0.43%"
"08/25/2025","23,425.61","23,454.28","23,546.45","23,382.19","294.30M","-0.31%"
"08/22/2025","23,498.12","23,184.99","23,575.36","23,140.04","363.61M","1.54%"
"08/21/2025","23,142.58","23,182.76","23,264.27","23,046.39","250.65M","-0.46%"
"08/20/2025","23,249.57","23,343.41","23,343.41","22,959.70","357.42M","-0.58%"
"08/19/2025","23,384.77","23,689.02","23,695.64","23,346.34","349.45M","-1.39%"
